year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model
2012,150000,60000,1,1,1,0,3,128
2015,650000,50000,1,1,0,0,3,285
2014,210000,40000,4,1,1,2,14,708
2013,425000,20000,1,0,1,0,3,368
2014,265000,55000,4,0,1,0,9,307
2018,890000,1136,4,0,1,0,5,684
2013,365000,55000,4,0,1,0,16,897
2014,350000,43000,4,0,1,0,7,461
2016,685000,60000,1,1,1,0,11,206
2018,940000,2650,1,0,1,0,17,805
2017,1000000,40000,1,1,1,0,10,1197
2019,1150000,15000,4,0,1,0,10,1189
2016,450000,115962,1,1,1,2,11,378
2015,590000,65000,1,0,1,0,14,1041
2017,800000,40000,1,1,1,0,11,835
2012,385000,58000,1,0,1,0,9,1309
2012,235000,54000,4,0,1,0,9,306
2017,640000,56000,1,0,1,0,20,85
2006,52000,120000,4,1,1,4,11,52
2009,80000,90000,3,1,1,2,11,756
2012,140000,70000,4,1,1,2,11,52
2008,120000,90000,4,1,1,2,9,1141
2012,180000,120000,1,1,1,0,3,764
2017,700000,10000,4,1,1,0,9,1292
2012,285000,80000,1,1,1,2,11,839
2015,390000,90000,4,1,1,0,9,518
2008,125000,80000,4,1,1,0,11,56
2008,225000,60000,4,1,1,2,11,851
2011,175000,139000,4,1,1,2,9,1258
2011,1075000,160000,1,1,1,2,19,610
2014,300000,150000,1,1,1,0,8,713
2010,700000,163000,1,1,1,1,19,597
2009,90000,120000,1,0,1,0,18,552
2011,120000,120000,1,1,1,2,18,568
2012,220000,100000,1,1,1,2,3,127
2015,300000,140000,1,0,1,0,18,1252
2010,180000,87000,1,0,1,2,17,417
2013,170000,70000,4,1,1,0,11,10
2015,300000,50000,4,1,1,2,7,461
2014,1050000,70000,1,1,1,0,19,614
2014,300000,150000,1,1,1,0,8,713
2018,465000,25000,1,1,1,0,9,499
2011,130000,80000,1,1,1,2,3,128
2018,434999,10000,4,1,1,0,4,485
2018,500000,32000,4,1,1,0,9,502
2018,200000,10000,4,1,1,0,11,758
2017,625000,52000,4,0,1,0,11,112
2006,110000,120000,1,1,1,4,7,430
2019,800000,11240,4,1,1,0,9,351
2017,490000,66000,1,0,1,0,9,516
2017,880000,64000,1,0,1,0,11,378
2013,290000,49000,4,1,1,0,9,880
2006,115999,100000,1,1,1,2,18,941
2018,360000,26500,4,1,1,0,16,665
2017,685000,72000,1,0,1,0,11,1143
2009,300000,50000,4,1,1,0,8,628
2017,680000,44000,1,0,1,0,9,1288
2017,1000000,60000,1,1,1,2,11,379
2010,160000,130000,1,1,1,0,10,1222
2017,450000,70000,1,1,1,0,11,1017
2014,600000,20000,4,1,1,0,11,382
2009,180000,60000,1,1,1,2,9,1286
2010,120000,90000,4,1,1,2,11,55
2006,130000,80000,4,1,1,4,9,492
2011,160000,155000,4,1,1,0,11,1161
2019,860000,35000,1,1,1,0,10,148
2018,650000,20000,4,1,1,2,9,1280
2010,100000,80000,4,1,1,2,11,1171
2017,282000,20000,4,1,1,0,11,40
2009,300000,50000,4,1,1,0,9,1299
2010,270000,110000,4,1,1,2,9,1298
2013,550000,29000,1,1,1,0,9,1111
2013,450000,120000,1,1,1,0,10,1218
2011,430000,70000,1,1,1,2,10,153
2013,350000,40000,4,1,1,0,11,383
2017,350000,20000,4,1,1,0,8,158
2013,229999,50000,4,1,1,2,19,405
2013,110000,50000,4,1,1,0,11,34
2012,395000,49000,4,1,1,2,11,967
2011,650000,70000,1,1,0,2,10,923
2011,350000,90000,1,1,1,2,10,151
2018,360000,4000,4,1,1,0,18,1063
2015,800000,15000,1,1,1,0,16,286
2018,229999,30000,4,1,1,0,9,312
2014,315000,41000,4,0,1,0,11,1174
2012,125000,28000,4,1,1,0,3,937
2019,700000,16000,4,1,1,0,11,111
2015,160000,70000,4,1,1,0,9,302
2017,530000,10832,4,0,1,0,7,446
2018,624000,14681,1,0,1,0,7,452
2009,250000,50000,4,1,1,0,9,1258
2016,585000,51000,1,0,1,0,10,151
2015,500000,25000,4,1,1,0,9,1105
2014,350000,30000,4,1,1,0,3,857
2014,495000,80000,1,0,1,0,8,238
2017,500000,50000,4,1,1,0,9,502
2013,345000,44000,4,0,1,0,9,509
2015,500000,10000,4,1,1,0,11,120
2019,425000,19600,4,1,1,0,18,1063
2005,80000,40000,4,1,1,2,11,1164
2011,106000,50000,1,1,1,0,3,127
2009,180000,46730,4,1,1,0,11,15
2015,250000,40000,4,1,1,2,4,477
2011,350000,80000,1,1,1,0,17,1233
2018,900000,24000,1,1,1,0,9,1124
2017,700000,21170,1,0,1,0,7,91
2017,1000000,40000,1,1,1,0,11,379
2007,160000,120000,1,1,1,4,3,1035
2012,525000,140000,4,1,0,0,13,766
2019,800000,30000,1,1,1,0,11,113
2017,700000,88635,1,0,1,0,7,448
2018,800000,25000,1,1,1,0,11,979
2017,575000,20000,4,1,1,2,9,1280
2012,350000,110000,1,1,1,2,16,287
2008,250000,120000,1,1,1,4,11,1013
2011,600000,149674,1,0,1,2,7,367
2007,370000,100000,1,1,1,4,10,906
2006,80000,120000,4,1,1,4,11,121
2018,900000,25000,1,1,1,0,9,1124
2014,300000,35000,4,1,1,2,11,1177
2015,490000,60000,1,1,1,2,11,979
2012,300000,50000,1,1,1,2,19,406
2013,55000,25000,4,1,1,1,18,724
2016,350000,25000,4,1,1,0,9,523
2019,755000,8000,1,1,1,0,9,499
2017,720000,60000,1,1,1,0,11,377
2018,1100000,20000,1,1,1,0,10,917
2013,400000,100000,4,1,1,0,20,784
2015,350000,70000,1,1,1,2,9,1202
2012,159000,68000,1,0,1,0,3,130
2017,550000,38000,4,0,1,0,11,1022
2013,335000,80000,1,0,1,0,11,830
2014,185000,72000,0,0,1,0,18,575
2012,229999,75000,0,0,1,0,11,341
2014,225000,43000,4,0,1,0,11,394
2007,250000,120000,4,1,1,2,11,1011
2015,400000,100000,1,1,1,0,18,1253
2014,470000,163000,1,1,1,0,11,1001
2018,300000,25000,4,1,0,0,11,49
2011,145000,25000,4,1,1,0,11,52
2007,100000,90000,4,1,1,2,11,844
2014,500000,70000,1,1,1,2,10,920
2010,130000,98000,0,1,1,2,9,884
2010,240000,81925,1,1,1,0,3,284
2013,150000,80000,1,1,1,2,7,454
2017,270000,40000,4,1,1,0,16,667
2014,400000,90000,1,1,1,0,11,979
2012,200000,46000,4,1,1,0,9,306
2012,550000,80000,1,1,1,0,10,1197
2018,325000,35000,4,1,1,0,16,657
2017,860000,82080,1,1,0,0,17,803
2009,125000,70000,4,1,1,0,3,935
2010,300000,120000,1,1,1,4,3,1035
2007,190000,60000,4,1,1,4,7,427
2013,400000,110000,1,1,1,0,11,380
2011,260000,97000,1,1,1,2,18,692
2017,400000,30000,4,1,1,0,11,1004
2010,250000,40000,4,1,1,0,9,1315
2019,600000,10000,4,1,1,0,9,502
2010,175000,52047,4,1,1,0,11,1244
2019,350000,15000,4,1,0,2,18,1064
2018,800000,50000,1,1,1,0,11,1146
2011,250000,70000,4,1,1,2,11,1007
2019,600000,10000,4,1,1,0,11,1008
2017,600000,90000,1,1,1,0,11,1001
2016,130000,40000,4,1,1,0,11,34
2006,90000,62009,4,1,1,2,11,1164
2017,595000,33100,4,1,1,2,9,1291
2014,190000,40000,4,1,1,2,9,306
2007,95000,80000,4,1,1,0,11,1171
2016,1000000,70000,1,1,1,0,18,854
2010,400000,50000,1,1,1,0,10,151
2015,315000,45000,4,1,1,2,4,478
2014,1000000,110000,1,1,1,0,19,468
2014,500000,49000,1,1,1,0,7,331
2017,500000,160000,1,1,1,0,10,958
2007,105000,60000,4,1,1,2,11,4
2008,400000,110000,1,1,1,4,7,362
2004,80000,60000,4,1,1,4,11,1164
2016,300000,30000,4,1,1,0,11,40
2017,409999,40000,1,1,1,0,10,644
2009,250000,70000,4,1,1,0,11,990
2010,250000,120000,1,1,1,2,18,735
2012,215000,80000,1,1,1,4,11,979
2018,475000,20000,4,1,1,0,8,161
2018,475000,22000,4,1,1,0,8,161
2008,75000,35000,4,1,1,2,3,936
2013,200000,120000,1,1,1,2,3,862
2019,575000,8000,4,1,1,0,18,1067
2011,150000,40000,1,1,1,2,11,830
2018,850000,10000,1,1,1,0,11,1147
2019,350000,30000,4,1,1,0,9,869
2011,550000,54000,1,1,1,2,7,362
2017,330000,80577,4,1,1,0,9,1105
2017,1044999,25000,1,1,1,0,8,239
2011,300000,127500,1,1,1,2,9,1106
2015,235000,40903,4,0,1,0,9,304
2011,120000,60000,4,1,1,4,7,461
2004,130000,46000,4,1,1,0,11,1174
2004,275000,22288,1,0,1,2,7,365
2015,500000,30000,1,1,1,2,20,776
2015,400000,61690,4,0,1,0,9,523
2015,600000,64484,4,0,1,0,9,1301
2013,400000,75976,1,0,1,2,16,290
2011,220000,70000,1,1,1,2,7,457
2012,300000,85962,4,0,1,2,8,162
2018,250000,120000,4,1,1,0,11,755
2015,600000,120000,1,1,1,0,8,713
2012,285000,75000,4,1,0,2,8,165
2009,350000,57035,4,0,1,0,8,28
2011,170000,70000,1,1,1,4,10,151
2015,229999,45000,4,1,1,0,7,436
2013,500000,72104,1,0,1,2,10,1197
2011,75000,15000,4,1,1,0,18,721
2016,600000,30000,4,1,1,0,9,1292
2011,220000,80000,1,1,1,0,18,589
2009,150000,164000,1,1,1,2,18,570
2006,65000,124439,4,1,1,2,11,52
2006,120000,77000,4,1,1,2,11,1249
2014,240000,90000,1,1,1,0,11,979
2017,390000,30000,4,1,1,0,16,657
2012,180000,50000,4,1,1,0,3,131
2012,320000,80000,1,1,1,2,11,1000
2018,310000,5000,4,1,1,0,11,34
2018,420000,24000,4,1,0,0,11,1154
2019,550000,10000,4,1,1,0,18,1067
2016,550000,78000,1,1,1,4,11,377
2018,760000,50000,1,1,1,0,10,1027
2018,250000,20000,4,1,1,0,11,758
2019,500000,1250,4,1,1,0,9,874
2015,380000,17152,4,1,1,0,18,1254
2012,350000,77000,1,1,1,0,20,781
2008,195000,90000,1,1,1,2,9,1121
2011,225000,80000,4,1,1,2,3,131
2015,1125000,65000,1,1,1,0,19,596
2011,133000,80000,1,1,1,0,18,566
2013,200000,24005,4,1,1,0,9,306
2018,940000,20000,1,1,1,0,11,1147
2014,400000,120000,1,1,1,0,16,291
2009,120000,120000,4,1,1,2,9,1259
2015,625000,80000,1,1,1,0,11,986
2005,110000,80000,4,1,1,0,11,963
2012,490000,100000,1,1,1,0,16,287
2009,140000,120000,4,1,1,2,11,52
2011,175000,149000,1,1,1,2,7,458
2005,90000,65000,4,1,1,2,11,1166
2009,275000,100000,1,1,1,2,11,998
2011,300000,65000,1,1,1,2,20,1086
2018,270000,19000,4,1,1,2,4,484
2010,130000,80000,4,1,1,2,3,132
2015,275000,30000,4,1,1,0,11,50
2012,352000,109000,1,1,1,0,11,1000
2012,180000,90000,3,1,1,0,9,309
2012,150000,90000,4,1,1,0,11,52
2011,300000,65000,1,1,1,2,20,1086
2010,300000,110000,1,1,1,2,11,1013
2007,225000,120000,1,1,1,0,10,142
2014,600000,44000,1,1,1,0,8,713
2015,500000,80000,4,1,1,0,11,374
2018,900000,5000,4,1,1,0,8,108
2016,600000,61000,4,1,1,0,9,1307
2011,450000,100000,1,1,1,2,19,411
2009,270000,27633,4,1,1,0,9,1259
2010,310000,100000,1,1,1,4,11,1013
2012,250000,100000,3,1,1,0,9,883
2019,700000,12586,4,0,1,0,7,437
2018,650000,38083,1,0,1,0,5,105
2012,400000,55328,1,0,1,0,7,458
2012,425000,81632,1,0,1,0,7,457
2016,600000,155201,1,0,1,0,7,91
2013,600000,93283,1,0,1,0,7,322
2012,450000,90165,1,0,1,0,7,429
2014,750000,101504,1,0,1,0,7,331
2010,325000,86017,1,0,1,2,7,464
2013,900000,85036,1,0,1,2,10,1200
2006,180000,91086,4,0,1,2,7,542
2013,350000,160254,1,0,1,2,5,792
2013,600000,125531,1,0,1,2,7,322
2019,900000,60000,1,1,1,0,8,1151
2006,350000,100000,1,1,1,0,17,676
2013,280000,90000,1,1,1,4,11,826
2009,225000,120000,1,1,1,2,10,1216
2014,520000,82000,1,1,1,0,8,228
2016,509999,60000,1,1,1,0,10,899
2019,556000,24000,4,1,1,0,11,112
2014,225000,120000,1,1,1,0,18,585
2013,325000,65000,1,0,1,0,8,65
2013,365000,65000,1,0,1,0,11,1000
2015,850000,84000,1,0,1,0,9,275
2013,350000,75000,1,0,1,0,19,400
2007,225000,50000,1,0,1,0,11,1000
2011,135000,50000,4,1,1,0,11,52
2007,140000,49000,4,0,1,0,11,1171
2015,275000,14365,4,0,1,0,16,665
2013,484999,65000,1,0,1,0,9,1110
2015,565000,65000,1,0,1,0,11,198
2013,425000,61083,1,0,1,0,11,979
2013,925000,75000,1,1,1,0,19,614
2012,565000,72000,1,0,1,0,10,927
2014,525000,65000,1,0,1,0,16,286
2015,295000,21000,4,0,1,2,9,306
2017,1100000,10000,4,1,0,0,9,1138
2016,670000,7104,4,2,1,0,11,1020
2015,750000,45974,1,2,1,0,11,837
2015,760000,55340,4,2,1,0,9,1118
2017,850000,20000,4,0,0,2,20,783
2015,390000,61585,1,2,1,0,16,787
2016,450000,39415,4,2,0,2,11,179
2014,425000,29654,4,2,1,0,8,166
2016,770000,64672,1,2,1,0,11,113
2015,1150000,54634,1,2,0,2,9,279
2015,775000,66521,4,2,1,0,8,236
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2013,450000,1000,1,0,1,2,16,291
2016,535000,52600,1,1,1,0,9,273
2012,225000,110000,4,1,1,2,11,845
2017,550000,19890,4,0,0,0,9,504
2016,670000,7104,4,2,1,0,11,1020
2015,625000,11918,4,2,1,0,11,382
2017,520000,10510,4,0,0,0,9,519
2016,239000,41000,4,0,1,0,3,134
2015,750000,45974,1,2,1,0,11,837
2012,229999,49824,4,0,1,0,9,1261
2005,80000,56580,4,0,1,0,9,872
2012,385000,52000,1,0,1,0,17,673
2015,760000,55340,4,2,1,0,9,1118
2017,600000,46507,1,2,1,0,11,979
2013,350000,50000,4,1,1,2,9,1312
2014,114999,30000,4,1,1,0,11,34
2013,380000,50000,4,1,1,2,9,1312
2016,900000,35000,1,1,1,0,10,900
2012,200999,90000,4,1,1,2,3,132
2014,229999,11451,4,1,1,0,11,755
2019,800000,60000,1,1,1,0,18,746
2012,150000,172000,1,1,1,2,10,1099
2018,600000,60000,1,1,1,0,11,1000
2005,150000,150000,1,1,1,0,3,1032
2009,150000,66000,1,1,1,0,3,763
2019,380000,5000,4,1,1,0,11,343
2006,80000,66508,4,1,1,2,11,963
2007,225000,55000,4,1,1,2,8,247
2012,75000,29900,4,1,1,0,18,723
2012,185000,85000,1,1,1,0,18,567
2011,425000,50000,1,1,1,0,10,902
2010,100000,120000,1,1,1,2,18,558
2008,140000,90000,4,1,1,4,11,1240
2017,710000,8000,4,1,0,0,11,971
2015,450000,7900,4,1,0,0,8,66
2017,210000,50000,4,1,1,0,4,821
2016,270000,25000,4,1,1,0,11,47
2009,110000,20000,4,1,1,0,11,55
2018,540000,17500,4,1,1,0,11,1006
2008,145000,25000,4,1,1,0,10,822
2013,250000,88600,3,1,1,0,9,1267
2012,110000,80000,1,1,1,0,18,1094
2008,250000,100000,1,1,1,1,3,172
2010,140000,60000,4,1,1,0,3,101
2019,925000,11000,4,1,1,0,11,209
2017,969999,30000,1,1,1,0,18,532
2007,90000,80000,0,1,1,4,9,879
2007,155000,100000,1,1,1,1,9,1121
2019,900000,15000,1,1,1,0,10,1052
2011,135000,90000,4,1,1,0,11,42
2012,180000,120000,4,1,1,0,11,4
2013,495000,100000,1,1,1,2,9,1110
2009,400000,138000,1,1,1,4,19,611
2008,250000,110000,1,1,1,2,9,1121
2015,138000,120000,4,1,1,1,11,44
2011,311000,70000,4,1,0,2,8,215
2015,190000,70000,4,1,1,0,11,40
2011,311000,140000,1,1,1,0,10,151
2009,300000,15000,4,1,1,0,11,827
2018,600000,20000,4,1,1,0,8,632
2009,550000,100000,1,1,1,0,10,919
2015,600000,70000,4,1,0,0,17,808
2018,195000,5000,4,1,1,0,11,40
2013,58000,27974,4,1,1,0,18,719
2018,183000,40000,4,1,1,0,11,40
2007,95000,80000,4,1,1,0,11,1236
2013,250000,38000,4,1,1,0,11,1163
2013,250000,38000,4,1,1,0,11,1163
2014,400000,35000,4,1,1,0,18,1254
2012,409999,60000,1,1,1,2,9,1111
2004,120000,120000,1,1,1,2,17,748
2018,600000,18000,4,1,0,0,11,964
2016,600000,10000,4,1,1,0,8,74
2015,825000,90000,1,1,1,4,10,1197
2016,625000,80000,1,1,1,2,19,399
2020,700000,1400,1,1,1,0,9,521
2011,160000,60000,4,1,1,0,3,131
2011,114999,60000,4,1,1,4,11,52
2009,150000,53000,4,1,1,0,11,1171
2010,250000,100000,1,0,1,0,20,638
2012,390000,86000,1,0,1,2,9,1110
2015,650000,100000,1,1,1,0,16,291
2016,600000,30000,1,1,1,0,9,1204
2011,250000,120000,4,1,1,0,9,1279
2011,229999,60000,3,1,1,2,9,881
2016,299000,50000,1,1,1,2,11,826
2010,330000,124000,1,1,1,2,3,284
2012,180000,100000,4,1,1,4,9,20
2017,475000,42000,4,1,1,0,9,502
2015,325000,100000,1,1,1,0,9,517
2016,639000,28205,4,0,1,0,8,236
2017,415000,32670,4,0,0,0,11,180
2013,525000,56228,0,0,1,0,11,384
2013,425000,59319,4,0,1,0,9,1112
2016,699000,39503,1,0,1,0,11,1144
2013,325000,35299,4,0,1,0,9,508
2011,275000,51687,4,0,1,0,19,410
2011,269000,76259,4,0,0,0,20,1093
2013,399000,44049,1,0,1,0,20,780
2017,475000,45087,1,0,1,0,10,650
2011,249000,41125,4,0,1,0,19,410
2011,254999,54206,4,0,1,0,20,785
2012,269000,52547,4,0,1,0,17,809
2014,665000,59110,1,0,1,0,11,386
2014,299000,54565,4,0,1,0,11,1172
2010,265000,47564,4,0,1,2,9,1298
2010,211000,45143,4,0,1,2,20,785
2013,599000,61624,4,0,0,2,17,954
2014,550000,50000,1,1,1,0,9,1111
2010,220000,120000,1,1,1,2,18,942
2019,500000,20000,4,1,1,0,11,1006
2010,140000,30000,4,1,1,0,11,55
2013,325000,60000,1,1,1,0,11,1000
2010,210000,90000,4,1,1,4,9,1306
2008,110000,90000,4,1,1,2,11,55
2017,229999,40000,4,1,1,0,11,40
2012,225000,110000,4,1,1,2,11,845
2006,165000,132000,4,1,1,0,11,34
2018,525000,10980,4,0,0,0,18,1069
2018,325000,20629,4,0,1,0,9,306
2015,400000,30000,4,1,0,0,9,510
2015,550000,69782,4,0,1,0,11,201
2013,900000,63654,1,0,1,0,10,1201
2017,700000,60000,1,1,1,0,16,686
2015,890000,52000,1,0,1,0,10,916
2015,490000,59385,1,0,1,0,11,992
2015,525000,70378,4,0,1,0,9,1289
2013,330000,55425,4,0,1,0,11,1165
2013,550000,78413,1,0,1,2,10,138
